ra,dec,distance,apparent_magnitude,undimmed_magnitude,apparent_temperature,unreddened_temperature,common_name,notes
0,0,0,-26.74,-26.74,5772,5772,Sun,
101.28715533,-16.71611586,2.64,-1.47,-1.47,9940,9940,Sirius A,
95.98795783,-52.69566139,95,-0.74,-0.74,7400,7400,Canopus,
213.91541667,19.18222222,11.26,-0.05,-0.05,4286,4286,Arcturus,
219.90205833,-60.83399269,1.34,0.01,0.01,5790,5790,Alpha Centauri A,
279.23473479,38.78368894,7.68,0.03,0.03,9602,9602,Vega,
79.17232796,45.99799147,13.16,0.08,0.08,5350,5350,Capella A,Average temperature of Aa and Ab
78.63446708,-8.20163836,260,0.13,0.13,12100,12100,Rigel A,
114.82549792,5.22498756,3.51,0.34,0.34,6530,6530,Procyon A,
24.42852283,-57.23675281,43,0.46,0.46,15000,15000,Achernar,
88.792939,7.407064,168.1,0.5,0.5,3600,3600,Betelgeuse,
210.95585563,-60.37303517,120,0.61,0.61,25000,25000,Beta Centauri,
297.69582729,8.86832119,5.13,0.76,0.76,7000,7000,Altair,
186.64956342,-63.09909286,99,0.76,0.76,26000,26000,Acrux,Average temperature of A and B
68.98016279,16.50930236,20,0.86,0.86,3900,3900,Aldebaran,
247.35191542,-26.43200261,170,0.96,0.96,3660,3660,Antares,
201.29824583,-11.16131944,77,0.97,0.97,23100,23100,Spica,Average temperature of A and B
116.32895779,28.02619889,10.36,1.14,1.14,4586,4586,Pollux,
344.41269375,-29.62223611,7.7,1.16,1.16,8590,8590,Fomalhaut,
310.35791667,45.28027778,802,1.25,1.25,8525,8525,Deneb,
191.93028654,-59.688772,85,1.25,1.25,27000,27000,Mimosa,
219.89609629,-60.83752756,1.34,1.33,1.33,5260,5260,Alpha Centauri B,
152.0929625,11.96720833,24.3,1.4,1.4,11668,11668,Regulus A,
104.65666667,-28.97194444,132,1.5,1.5,22900,22900,Epsilon Canis Majoris A,
263.40216667,-37.10382222,180,1.62,1.62,25000,25000,Lambda Scorpii A,
187.79149838,-57.11321344,27.2,1.64,1.64,3689,3689,Gacrux,
81.28276354,6.34970328,77,1.64,1.64,22000,22000,Bellatrix,
81.57297133,28.60745172,41.1,1.65,1.65,13824,13824,Beta Tauri,
138.29990608,-69.71720758,34.7,1.69,1.69,8866,8866,Beta Carinae,
84.05333333,-1.20191667,600,1.69,1.69,27500,27500,Alnilam,
122.38312554,-47.33658633,379,1.72,1.72,46000,46000,Gamma Velorum A,Average temperature ov WR and O
332.05826971,-46.96097439,31,1.74,1.74,13920,13920,Alpha Gruis,
193.50728996,55.95982297,25.3,1.77,1.77,9020,9020,Epsilon Ursae Majoris,
85.18969442,-1.94285136,387,1.77,1.77,29500,29500,Alnitak,
165.93196467,61.75103469,37.7,1.79,1.79,4660,4660,Alpha Ursae Majoris,
51.08070871,49.86117931,155,1.81,1.81,6350,6350,Alpha Persei,
107.09785867,-26.39320761,490,1.82,1.82,6390,6390,Delta Canis Majoris,
264.32970771,-42.997828,90,1.84,1.84,7268,7268,Theta Scorpii,
276.04299333,-34.38461647,43.9,1.85,1.85,9960,9960,Epsilon Sagittarii,
206.88515733,49.31326672,31.9,1.86,1.86,15540,15540,Eta Ursae Majoris,
89.88217888,44.94743258,24.9,1.9,1.9,9350,9350,Beta Aurigae,
252.1662295,-69.02771183,120,1.91,1.91,4150,4150,Alpha Trianguli Australis,
99.42796042,16.39928042,34,1.92,1.92,9260,9260,Gamma Geminorum,
113.64942917,31.888275,15.6,1.93,1.93,10286,10286,Castor Aa,
306.41190438,-56.73508972,55,1.94,1.94,17711,17711,Alpha Pavonis,
95.67493896,-17.95591869,151,1.97,1.97,23150,23150,Beta Canis Majoris,
37.95454167,89.26411111,100,1.98,1.98,6015,6015,Polaris A,
131.17594167,-54.70882222,24.7,2,2,9635,9635,Deta Velorum A,Average temperature of Aa and Ab
141.89684708,-8.6586025,54,2,2,4120,4120,Alphard,
31.79335708,23.46241756,20.2,2,2,4480,4480,Hamal,
10.89737875,-17.98660631,29.5,2.02,2.02,4797,4797,Beta Ceti,
283.81636042,-26.29672411,70,2.05,2.05,18890,18890,Sigma Sagittarii,
17.43301617,35.62055764,61,2.05,2.05,3842,3842,Beta Andromedae,
211.67061467,-36.36995475,18.03,2.06,2.06,4980,4980,Theta Centauri,
263.73362271,12.56003739,14.9,2.07,2.07,8000,8000,Alpha Ophiuchi,
222.6763575,74.15550394,40.1,2.08,2.08,4030,4030,Beta Ursae Minoris,
86.93912017,-9.66960492,198,2.09,2.09,26500,26500,Saiph,
177.26490975,14.57205806,11,2.11,2.11,8500,8500,Denebola,
47.04221854,40.95564667,28,2.12,2.12,13000,13000,Algol,
340.66687613,-46.88457644,54,2.15,2.15,3480,3480,Beta Gruis,
125.62848025,-59.50948419,190,2.17,2.17,3523,3523,Epsilon Carinae A,
190.37933367,-48.95987153,39.9,2.17,2.17,9082,9082,Gamma Centauri,
139.27252858,-59.27523203,210,2.21,2.21,7500,7500,Iota Carinae,
136.99899113,-43.43259092,167,2.21,2.21,3800,3800,Lambda Velorum,
2.09691617,29.09043111,29.7,2.22,2.22,13800,13800,Alpha Andromedae A,
83.00166704,-0.29909511,380,2.23,2.23,29500,29500,Mintaka A,
305.557091,40.25667917,560,2.23,2.23,5790,5790,Gamma Cygni,
269.15154117,51.48889561,47.3,2.23,2.23,3930,3930,Gamma Draconis,
120.89625,-40.00322222,330,2.25,2.25,40000,40000,Zeta Puppis,
30.975,42.32972222,109,2.27,2.27,4500,4500,Gamma Andromedae,
2.29452158,59.14978111,16.8,2.28,2.28,7079,7079,Beta Cassiopeiae,
204.97190725,-53.46639114,131,2.3,2.3,24000,24000,Epsilon Centauri,
220.48231579,-47.38819875,142,2.3,2.3,21820,21820,Alpha Lupi,
240.08335533,-22.62170642,136,2.31,2.31,27400,27400,Delta Scorpii,
252.54083333,-34.29333333,19.54,2.31,2.31,4560,4560,Epsilon Scorpii,
218.87676733,-42.15782522,94,2.35,2.35,8700,8700,Eta Centauri,
154.99312733,19.84148522,39.9,2.37,2.37,4470,4470,Gamma Leonis A,
265.62198,-39.02998308,148,2.39,2.39,23400,23400,Kappa Scorpii,
326.04648392,9.87500864,211,2.4,2.4,3963,3963,Epsilon Pegasi,
345.94357275,28.08278711,60.1,2.42,2.42,3689,3689,Beta Pegasi,
257.59452871,-15.72490664,27.1,2.43,2.43,8000,8000,Eta Ophiuchi,
178.45769717,53.69475972,25.5,2.44,2.44,9355,9355,Gamma Ursae Majoris,
111.0237595,-29.3031055,600,2.45,2.45,15000,15000,Eta Canis Majoris,
140.52840671,-55.01066714,175,2.46,2.46,12000,12000,Kappa Velorum,
14.17708783,60.71674956,168,2.47,2.47,25000,25000,Gamma Cassiopeiae,
346.19022271,15.20526714,40.9,2.48,2.48,10100,10100,Alpha Pegasi,
311.55284317,33.97025694,22.29,2.48,2.48,4710,4710,Epsilon Cygni,
45.56988779,4.08973878,76,2.53,2.53,3795,3795,Alpha Ceti,
208.88494021,-47.2883745,117,2.55,2.55,23561,23561,Zeta Centauri,
168.52708925,20.52371814,58.4,2.56,2.56,8296,8296,Delta Leonis,
183.95154504,-17.54193044,47.1,2.59,2.59,12000,12000,Gamma Corvi,
285.65304267,-29.88006331,88,2.59,2.59,8799,8799,Zeta Sagittarii,
229.25172425,-9.38291442,185,2.61,2.61,12300,12300,Beta Librae,
241.35929992,-19.80545278,120,2.62,2.62,28000,28000,Beta Scorpii A,
89.93029217,37.21258464,166,2.65,2.65,10400,10400,Theta Aurigae,
28.66004579,20.80803147,44.7,2.66,2.66,9000,9000,Beta Arietis,
224.63302233,-43.13396386,383,2.68,2.68,24090,24090,Beta Lupi,
208.67116217,18.39772072,37.2,2.68,2.68,6100,6100,Eta Bootis,
189.29590788,-69.13556478,315,2.69,2.69,21400,21400,Alpha Muscae,
262.690988,-37.29581347,177,2.7,2.7,22831,22831,Upsilon Scorpii,
200.14923904,-36.71229019,58.8,2.73,2.73,8600,8600,Iota Centauri,
